title,authors,average_rating,isbn,# num_pages
London: City Guide (Lonely Planet City Guide),Lonely Planet-Sarah Johnstone-Tom Masters,4.03,1740598318,466
Best of London (Lonely Planet Best Of),Lonely Planet-Sarah Johnstone-Steve Fallon,4.09,1740594770,128
London,Lonely Planet-Steve Fallon-Pat Yale,4.03,186450353X,400
Lonely Planet Londres,Lonely Planet-Sarah Johnstone-Tom Masters,4.03,8408064762,480
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet-Mark Honan,0.0,1740592050,295
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.87,0618710531,287
Cryptonomicon,Neal Stephenson,4.25,0060512806,1139
Golgotha (Cryptonomicon  #3),Neal Stephenson,4.13,2228894699,420
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.11,2228894168,418
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.25,0060733357,815
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,0060593083,927
The Cobweb,Neal Stephenson-J. Frederick George,3.61,0553383442,448
Zodiac,Neal Stephenson,3.71,0553573861,308
The Big U,Neal Stephenson,3.25,0380816032,308
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson,4.19,0553380966,499
Interface,Neal Stephenson-George F. Jewsbury-Stephen  Bury,3.67,0553383434,640
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,0060833181,464
Snow Crash,Neal Stephenson,4.03,0553380958,438
Snow Crash,Neal Stephenson-Joachim Körber,4.03,344245302X,534
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington-Bill Robertie,4.15,1880685353,450
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington-Bill Robertie,4.23,1880685337,381
The Design of Everyday Things,Donald A. Norman,4.19,0465067107,240
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.94,0465051367,272
The Psychology of Everyday Things,Donald A. Norman,4.19,0465067093,257
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones-Diane M. Hanson-Stephen K. Ray,4.26,0898709199,259
The Alchemist,Paulo Coelho-Alan R. Clarke-James Noel Smith,3.85,0060887966,192
The Alchemist,Paulo Coelho-Alan R. Clarke-Özdemir İnce,3.85,0061122416,197
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa-Akira Watanabe,4.57,142150460X,192
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa-Akira Watanabe,4.56,1591169259,192
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa-Akira Watanabe,4.57,1421504596,192
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa-Akira Watanabe,4.49,1591169208,192
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa-Akira Watanabe,4.55,1591169291,200
